year,epi_week,url_www_mirror,note
2024,47,https://www.nih.org.pk/wp-content/uploads/2024/12/Weekly_Report-47-2024.pdf,extracted (full build)
2024,48,https://www.nih.org.pk/wp-content/uploads/2024/12/Weekly_Report-48-2024.pdf,extracted (full build)
2024,49,https://www.nih.org.pk/wp-content/uploads/2025/01/Weekly_Report-49-2024.pdf,extracted (full build)
2024,50,https://www.nih.org.pk/wp-content/uploads/2025/01/Weekly_Report-50-2024.pdf,extracted (full build)
2024,51,https://www.nih.org.pk/wp-content/uploads/2025/01/Weekly_Report-51-2024.pdf,extracted (full build)
2024,52,https://www.nih.org.pk/wp-content/uploads/2025/01/Weekly_Report-52-2024.pdf,extracted (full build)
2025,1,https://www.nih.org.pk/wp-content/uploads/2025/01/Weekly_Report-01-2025.pdf,extracted (full build)
2025,2,https://www.nih.org.pk/wp-content/uploads/2025/02/Weekly_Report-02-2025.pdf,extracted (full build)
2025,3,https://www.nih.org.pk/wp-content/uploads/2025/02/Weekly_Report-03-2025.pdf,extracted (full build)
2025,4,https://www.nih.org.pk/wp-content/uploads/2025/03/Weekly_Report-04-2025.pdf,extracted (full build)
2025,5,https://www.nih.org.pk/wp-content/uploads/2025/03/Weekly_Report-05-2025.pdf,extracted (full build)
2025,6,https://www.nih.org.pk/wp-content/uploads/2025/03/Weekly_Report-06-2025.pdf,extracted (full build)
2025,7,https://www.nih.org.pk/wp-content/uploads/2025/03/Weekly_Report-07-2025.pdf,extracted (full build)
2025,8,https://www.nih.org.pk/wp-content/uploads/2025/03/Weekly_Report-08-2025.pdf,extracted (full build)
2025,9,https://www.nih.org.pk/wp-content/uploads/2025/04/Weekly_Report-09-2025.pdf,extracted (full build)
2025,10,https://www.nih.org.pk/wp-content/uploads/2025/05/Weekly_Report-10-2025.pdf,extracted (feasibility-check sample)
2025,11,https://www.nih.org.pk/wp-content/uploads/2025/05/Weekly_Report-11-2025.pdf,extracted (full build)
2025,12,https://www.nih.org.pk/wp-content/uploads/2025/05/Weekly_Report-12-2025.pdf,extracted (full build)
2025,13,https://www.nih.org.pk/wp-content/uploads/2025/06/IDSR Week 13 Bulletin (2025).pdf,extracted (full build)
2025,14,https://www.nih.org.pk/wp-content/uploads/2025/06/IDSR Week 14 Bulletin (2025).pdf,extracted (full build)
2025,15,https://www.nih.org.pk/wp-content/uploads/2025/06/IDSR Week 15 Bulletin (2025).pdf,extracted (full build)
2025,16,https://www.nih.org.pk/wp-content/uploads/2025/06/IDSR Week 16 Bulletin (2025).pdf,extracted (full build)
2025,17,https://www.nih.org.pk/wp-content/uploads/2025/06/Weekly_Report-17-2025.pdf,extracted (full build)
2025,18,https://www.nih.org.pk/wp-content/uploads/2025/06/Weekly_Report-18-2025.pdf,extracted (full build)
2025,19,https://www.nih.org.pk/wp-content/uploads/2025/06/Weekly_Report-19-2025.pdf,extracted (full build)
2025,20,https://www.nih.org.pk/wp-content/uploads/2025/06/Weekly_Report-20-2025.pdf,extracted (feasibility-check sample)
2025,21,https://www.nih.org.pk/wp-content/uploads/2025/06/Weekly_Report-21-2025.pdf,extracted (full build)
2025,22,https://www.nih.org.pk/wp-content/uploads/2025/08/Weekly_Report-22-2025.pdf,extracted (full build)
2025,23,https://www.nih.org.pk/wp-content/uploads/2025/08/Weekly_Report-23-2025.pdf,extracted (full build)
2025,24,https://www.nih.org.pk/wp-content/uploads/2025/08/Weekly_Report-24-2025.pdf,extracted (full build)
2025,25,https://www.nih.org.pk/wp-content/uploads/2025/08/Weekly_Report-25-2025.pdf,extracted (full build)
2025,26,https://www.nih.org.pk/wp-content/uploads/2025/08/Weekly_Report_26-2025.pdf,extracted (full build)
2025,27,https://www.nih.org.pk/wp-content/uploads/2025/09/Weekly_Report-27-2025.pdf,extracted (full build)
2025,28,https://www.nih.org.pk/wp-content/uploads/2025/09/Weekly_Report-28-2025.pdf,extracted (full build)
2025,29,https://www.nih.org.pk/wp-content/uploads/2025/09/Weekly_Report-29-2025.pdf,extracted (full build)
2025,30,https://www.nih.org.pk/wp-content/uploads/2025/09/Weekly_Report-30-2025.pdf,extracted (full build)
2025,31,https://www.nih.org.pk/wp-content/uploads/2025/11/Weekly Report-31-2025.pdf,extracted (full build)
