mechanism,rate,condition,horizon,n_districts,zero_MAE,aware_MAE,delta_zero_minus_aware,share_districts_aware_better
mcar,0.2,Typhoid,2,37,6.656216216216216,6.5075,0.14871621621621617,0.5675675675675675
mcar,0.2,Typhoid,4,37,7.131081081081081,6.908581081081081,0.22249999999999995,0.5945945945945946
mcar,0.4,AD_noncholera,1,37,202.48777027027026,193.3831081081081,9.104662162162162,0.9459459459459459
mcar,0.4,AD_noncholera,2,37,245.48682432432435,227.59236486486486,17.894459459459462,1.0
mcar,0.4,AD_noncholera,4,37,274.60729729729735,243.33270270270268,31.274594594594596,0.972972972972973
mcar,0.4,ALRI_u5,1,37,9.64728307254623,9.341877667140825,0.3054054054054054,0.6486486486486487
mcar,0.4,ALRI_u5,2,37,11.128296586059744,10.749985775248934,0.37831081081081064,0.6486486486486487
mcar,0.4,ALRI_u5,4,37,11.78478307254623,11.474377667140827,0.31040540540540545,0.5405405405405406
mcar,0.4,Bloody_diarrhoea,1,37,12.641625177809388,12.377030583214793,0.2645945945945946,0.7837837837837838
mcar,0.4,Bloody_diarrhoea,2,37,13.902368421052634,13.44736842105263,0.455,0.7027027027027027
mcar,0.4,Bloody_diarrhoea,4,37,14.467030583214793,13.733449502133713,0.7335810810810811,0.8108108108108109
mcar,0.4,ILI,1,37,34.85255689900427,33.96980440967283,0.8827524893314368,0.5675675675675675
mcar,0.4,ILI,2,37,39.27755689900427,38.10922119487909,1.1683357041251774,0.5135135135135135
mcar,0.4,ILI,4,37,44.43199502133713,43.771116642958745,0.6608783783783788,0.40540540540540543
mcar,0.4,Malaria,1,37,30.699391891891892,29.659391891891893,1.0399999999999998,0.7837837837837838
mcar,0.4,Malaria,2,37,36.383310810810805,34.40587837837838,1.9774324324324322,0.8378378378378378
mcar,0.4,Malaria,4,37,39.97722972972973,37.29641891891892,2.6808108108108106,0.7837837837837838
mcar,0.4,Typhoid,1,37,6.522162162162162,6.333040540540541,0.18912162162162155,0.7297297297297297
mcar,0.4,Typhoid,2,37,6.8075,6.540405405405406,0.26709459459459456,0.5945945945945946
mcar,0.4,Typhoid,4,37,7.2765540540540545,6.906824324324324,0.3697297297297296,0.5405405405405406
mcar,0.6,AD_noncholera,1,37,208.98891891891893,194.49175675675676,14.497162162162162,0.9459459459459459
mcar,0.6,AD_noncholera,2,37,257.9866891891892,229.18756756756758,28.799121621621623,1.0
mcar,0.6,AD_noncholera,4,37,292.6506756756757,242.6616216216216,49.98905405405405,0.972972972972973
mcar,0.6,ALRI_u5,1,37,9.819580369843528,9.426539829302987,0.39304054054054044,0.6486486486486487
mcar,0.6,ALRI_u5,2,37,11.530796586059745,10.769850640113798,0.7609459459459458,0.6216216216216216
mcar,0.6,ALRI_u5,4,37,11.92978307254623,11.296877667140826,0.6329054054054053,0.5405405405405406
mcar,0.6,Bloody_diarrhoea,1,37,12.749327880512093,12.412233285917495,0.3370945945945948,0.8108108108108109
mcar,0.6,Bloody_diarrhoea,2,37,14.11074679943101,13.466760312944524,0.6439864864864864,0.7567567567567568
mcar,0.6,Bloody_diarrhoea,4,37,14.760544096728307,13.687165718349927,1.0733783783783784,0.8108108108108109
mcar,0.6,ILI,1,37,35.28296230440967,34.04324679943101,1.239715504978663,0.6216216216216216
mcar,0.6,ILI,2,37,40.48836770981508,38.46009246088194,2.028275248933143,0.5405405405405406
mcar,0.6,ILI,4,37,45.621909672830725,43.88552275960171,1.7363869132290182,0.3783783783783784
mcar,0.6,Malaria,1,37,31.259391891891894,29.698783783783785,1.560608108108108,0.8108108108108109
mcar,0.6,Malaria,2,37,37.366216216216216,34.49621621621621,2.87,0.8648648648648649
mcar,0.6,Malaria,4,37,41.94222972972973,37.402364864864865,4.539864864864865,0.7297297297297297
mcar,0.6,Typhoid,1,37,6.579662162162162,6.360878378378378,0.21878378378378366,0.7027027027027027
mcar,0.6,Typhoid,2,37,6.931013513513514,6.602297297297297,0.3287162162162162,0.6486486486486487
mcar,0.6,Typhoid,4,37,7.473716216216217,7.060743243243243,0.412972972972973,0.5945945945945946
mcar,0.8,AD_noncholera,1,37,213.30945945945945,195.7402702702703,17.569189189189192,0.9459459459459459
mcar,0.8,AD_noncholera,2,37,267.04148648648646,230.82337837837838,36.218108108108105,1.0
mcar,0.8,AD_noncholera,4,37,309.0147297297297,242.08310810810812,66.93162162162163,0.972972972972973
mcar,0.8,ALRI_u5,1,37,9.87039118065434,9.480120910384068,0.3902702702702702,0.5945945945945946
mcar,0.8,ALRI_u5,2,37,11.751337126600284,10.929505689900427,0.8218314366998576,0.5945945945945946
mcar,0.8,ALRI_u5,4,37,12.103093883357042,11.476931009957326,0.6261628733997153,0.43243243243243246
mcar,0.8,Bloody_diarrhoea,1,37,12.899530583214794,12.442773826458037,0.45675675675675703,0.7837837837837838
mcar,0.8,Bloody_diarrhoea,2,37,14.337030583214794,13.478854907539118,0.8581756756756758,0.7567567567567568
mcar,0.8,Bloody_diarrhoea,4,37,15.08155761024182,13.683381934566144,1.3981756756756756,0.7837837837837838
mcar,0.8,ILI,1,37,36.12944879089616,35.30425675675676,0.8251920341394029,0.5135135135135135
mcar,0.8,ILI,2,37,41.95857041251778,40.950078236130864,1.0084921763869128,0.5135135135135135
mcar,0.8,ILI,4,37,45.85648648648649,47.9974146514936,-2.140928165007112,0.35135135135135137
mcar,0.8,Malaria,1,37,31.855608108108108,30.14668918918919,1.7089189189189191,0.7027027027027027
mcar,0.8,Malaria,2,37,38.41925675675676,35.42337837837838,2.9958783783783782,0.7027027027027027
