condition,horizon,mode,n,mask_MAE,nomask_MAE,mean_delta
SARI,2,reporting_aware,628,6.738158375144617,6.8015373819758915,0.06337900683127369
SARI,2,zero_fill,628,6.5915049129814545,6.5046466211758345,-0.08685829180562091
SARI,4,reporting_aware,555,6.6979968438417075,6.602218501603627,-0.09577834223808118
SARI,4,zero_fill,555,6.389954766427028,6.402212615426968,0.012257848999939123
TB,1,reporting_aware,74,8.862797267759419,7.6518575170570715,-1.2109397507023463
TB,1,zero_fill,74,8.236227470503861,8.406608817927268,0.1703813474234056
TB,2,reporting_aware,74,8.862797267759419,7.6518575170570715,-1.2109397507023463
TB,2,zero_fill,74,8.279023722698883,8.405010357541828,0.1259866348429465
TB,4,reporting_aware,74,8.862797267759419,7.6518575170570715,-1.2109397507023463
TB,4,zero_fill,74,8.208931093898027,8.413587199601203,0.2046561057031754
Typhoid,1,reporting_aware,703,5.653349431035888,5.717990195595035,0.06464076455914648
Typhoid,1,zero_fill,703,5.71572686915708,5.668465523955037,-0.04726134520204326
Typhoid,2,reporting_aware,666,5.799315865215292,5.850484846202016,0.05116898098672325
Typhoid,2,zero_fill,666,5.780526903244966,5.798279979466729,0.017753076221762726
Typhoid,4,reporting_aware,592,5.863401426165747,5.843317172614834,-0.020084253550912735
Typhoid,4,zero_fill,592,5.844499187119102,5.781644162951039,-0.06285502416806256
